x,y
89644.91256926654,43136.26543128709
89647.55793928751,43139.47599240842
89647.59223413467,43139.44109544556
89647.70909017959,43139.71052444918
89647.75344849928,43139.68826186517
89647.5939002868,43142.46976561205
89647.64232987203,43142.46366968159
89647.11527769564,43143.557707733526
89647.16493575051,43143.56344314492
89647.0805044625,43143.80316696049
89647.12775618242,43143.817502838894
89646.51783403056,43144.71275726652
89646.55823304314,43144.741123472035
89646.28099201006,43144.95500296377
89646.32005282384,43144.985775687484
89643.56932237526,43149.400227099
89643.6115777611,43149.42695680533
89642.17684041164,43151.68039260106
89642.21905735697,43151.707183077306
89640.26987183918,43154.506014940154
89640.31233221435,43154.53241387944
89638.78140371981,43156.93234385413
89638.82397630966,43156.958564304325
89636.33997748845,43160.744294295415
89636.38230263408,43160.77091260811
89634.98424403192,43162.856309002455
89635.02645944987,43162.88310188375
89632.1822646134,43167.17390636714
89632.22422165415,43167.20109772189
89631.05305734748,43168.69203249814
89631.09501222905,43168.71922725481
89629.91167144512,43170.35413190391
89629.95347934164,43170.38154616512
89629.12574243196,43171.58293739191
89629.16793004287,43171.60973362447
89628.8658351393,43172.02018514027
89628.90622775182,43172.049321400555
89625.78158609672,43173.99639216326
89625.81587656145,43174.03245601671
89625.53098561094,43174.187777257874
89625.56287489359,43174.226260642696
89625.33061900284,43174.36380253655
89625.35765122136,43174.4052561222
89624.76879267505,43174.53020705705
89624.78735999975,43174.57655414238
89624.50593389667,43174.61930903686
89624.51955738259,43174.66734966154
89624.31585580259,43174.66319478574
89624.32561370112,43174.71221220986
89624.11581877281,43174.69701350546
89624.12316362158,43174.74646076103
89623.33941885235,43174.90226495429
89623.34840644652,43174.95137712
89622.79195765726,43175.0352659059
89622.80508255628,43175.08348766611
89621.88281317732,43175.50142267036
89621.89897997037,43175.54870861379
89621.30199846803,43175.72418097498
89621.32347032116,43175.76914339821
89620.91754082203,43175.94847544288
89620.69335780479,43176.32647279034
89620.45030333841,43176.41454605074
89620.47887155152,43176.45544215861
89620.19358959168,43176.620676682476
89620.22878485642,43176.65576733809
89619.9750381241,43176.895095926775
89620.01514133671,43176.92490643333
89619.74294348116,43177.23120125531
89619.78542797983,43177.25744240322
89619.35685683804,43178.04611528541
89619.40376697123,43178.05830192036
89619.35231784666,43178.30280576827
89619.40200065085,43178.306920908246
89619.28976679497,43178.68897649403
89619.33872903412,43178.698904291115
89619.20132103964,43179.048882824805
89619.2483820247,43179.065138265985
89619.04411804906,43179.39574884994
89619.09070745409,43179.413672901195
89618.94539261967,43180.30921421472
89618.99412684425,43180.3187551704
89618.91907322951,43180.64353194552
89618.96892731958,43180.643538146454
89618.94095675836,43180.93090005517
89618.99042942488,43180.924248683354
89618.99923865724,43181.23319060397
89619.04866061811,43181.225963529134
89619.13230746404,43182.102275758196
89619.1818003261,43182.09543132507
89619.23499837854,43182.67433780515
89619.28177634138,43182.65840469584
89619.46875298576,43183.124594277266
89619.51105646661,43183.09821544263
89620.06607286056,43184.033333530475
89620.10267201587,43183.99970546558
89621.03883438057,43184.88665025291
89621.07025536889,43184.8478040099
89623.3303540373,43186.50991579996
89623.35944917485,43186.46926575795
89625.59503661096,43188.11453090246
89625.62119595075,43188.07199162415
89626.47519027424,43188.62322454083
89626.49705117062,43188.57832306634
89627.01301592728,43188.85378694357
89627.0314060876,43188.80731201372
89627.85933527234,43189.15311434394
89627.87185025378,43189.10493971461
89628.73693449533,43189.30720914589
89628.7385087114,43189.257638326904
89629.65515455982,43189.221330203494
89629.64974547735,43189.17162783856
89630.64071016002,43189.118106101814
89630.62919806957,43189.0697743889
89631.58442141183,43188.79765529152
89631.5650235776,43188.75164658474
89632.28263825263,43188.45923811978
89632.25634831906,43188.417034628714
89633.39405586,43187.6238550999
89633.35944863383,43187.58816780179
89634.19665748278,43186.6621634257
89634.15678876828,43186.632080345626
89634.61672814985,43186.04742823361
89634.57528854895,43186.019451839486
89635.47047164722,43184.60380976931
89635.42785819838,43184.57772690825
89635.90278834876,43183.74871540426
89635.8609425109,43183.72154532168
89638.65112054549,43181.02038665197
89638.61334290648,43180.98781988654
89640.22313456453,43180.54570878328
89640.19481601665,43180.50544527144
89640.46430592673,43180.435749857905
89640.44883785136,43180.38857950427
89641.68723409201,43180.32671562508
89641.68485861068,43180.27732694299
89643.56910694102,43180.54598314184
89643.57676823533,43180.496644848026
89644.87035133221,43180.81325386176
89644.88670144309,43180.766441799096
89645.18016812447,43180.969156910694
89645.20490912552,43180.92578955696
89646.3404562549,43181.41734995968
89646.37037327792,43181.37744681902
89647.52147234188,43182.022368522106
89647.55139512719,43181.98246909183
89650.03445329393,43183.42688534218
89650.06152990228,43183.38485133991
89653.5762710748,43185.99777952704
89653.6033480214,43185.95574574232
89655.15762753753,43187.076535454136
89655.18431763508,43187.03425744832
89656.9116557499,43188.082911461985
89656.93990780655,43188.041726051044
89657.47773293452,43188.50719714719
89657.50150061779,43188.463823315935
89658.41876583148,43188.77047220021
89658.42743193556,43188.7220227577
89659.40353757283,43188.77144547786
89659.39912578213,43188.72183760267
89660.22109678539,43188.61930335231
89660.20464508065,43188.572786359466
89660.83354811673,43188.28535473715
89660.80261030229,43188.247077414526
89661.54180352495,43187.593513823726
89661.50231564835,43187.562968178805
89662.08230355449,43186.811288699944
89662.04082274143,43186.78337711247
89663.0497857945,43185.527481438054
89663.00772930786,43185.5004446322
89663.89106318558,43184.083999949595
89663.84822001745,43184.05824172522
89664.51707825536,43182.81119857084
89664.47188548552,43182.790259353016
89664.74835660466,43182.16524170982
89664.69995234991,43182.15439127192
89664.77787777824,43181.3260748434
89664.72881454049,43181.33007548189
89664.61364652825,43180.695316915415
89664.56684789303,43180.7123236467
89664.28709411633,43179.802945032585
89664.24387325143,43179.82775235051
89663.96511875791,43179.33426632878
89663.9258772452,43179.36508997722
89663.38590803464,43178.680600177686
89663.35233659268,43178.71730985044
89662.94679195769,43178.35310178007
89662.91697347155,43178.393237249205
89662.2281050788,43177.726274381304
89662.20022722159,43177.767717849056
89661.33357873785,43177.18109913756
89661.30820335636,43177.224175897776
89659.6376157249,43176.23652756843
89659.61283980895,43176.27995744296
89657.57722815758,43175.05328404455
89657.55392256082,43175.09748912667
89656.19785744575,43174.284008485294
89656.17816974294,43174.329909794935
89654.55691252244,43173.61362844141
89654.5461183666,43173.661957713506
89653.80625197188,43173.550668326745
89653.80089546033,43173.600363177036
89652.54855955997,43173.29360926938
89652.54352867755,43173.34332843688
89651.35266370291,43173.17445610487
89651.34788537785,43173.224207928266
89649.91174034774,43173.01101180159
89649.90224032407,43173.05998288459
89648.86479982117,43172.834597275025
89648.84846325024,43172.8817080881
89648.57707520333,43172.71012366509
89648.54804206429,43172.74918314224
89648.38027626295,43172.47251286754
89648.33733831003,43172.49621029332
89644.53515874199,43169.13391970877
89644.48737048189,43169.1436872571
89645.16524133118,43165.39362761134
89645.1162950616,43165.3848469036
89646.56039435702,43163.815880169466
89646.51654305529,43163.793711690756
89646.74041965061,43163.583938124895
89646.71176727723,43163.5453302051
89647.02494542868,43163.48076961055
89647.0103715981,43163.43304744903
89649.71387258318,43162.41802111913
89649.69813841181,43162.37076963313
89650.64226157982,43162.01449489407
89650.6229450277,43161.96838197901
89651.53322929895,43161.65555975477
89651.51735399572,43161.60823960572
89653.92964202349,43160.65590673202
89653.91371029626,43160.608609395145
89654.36063572294,43160.48123694258
89654.3406593988,43160.43541891553
89656.27502400946,43159.72885877056
89656.25319291317,43159.6838827843
89656.66336218764,43159.53364950575
89656.64476956375,43159.4874270433
89659.81663228583,43159.27765170524
89659.81414827265,43159.22922928301
89660.92326368042,43159.63671117075
89660.94267585181,43159.591862391244
89662.57326298955,43160.84273045844
89662.60887504873,43160.80892680273
89663.6475140257,43162.70113483783
89663.691332451,43162.677319910435
89663.76665534812,43164.85430885134
89663.81421061962,43164.840754706864
89663.79367659373,43165.070990882814
89663.84111912452,43165.07835363049
89663.64233225837,43165.388039406134
89663.68087634754,43165.417917765866
89663.4131392049,43165.7240727177
89663.44805244132,43165.7595952954
89663.2605131111,43165.90239518817
89663.30222124586,43165.92911944813
89663.09610125754,43166.26017494275
89663.14192580832,43166.28014630555
89662.91529691388,43166.97807880227
89662.96340628807,43166.98870622873
89662.92580970202,43167.82229568872
89662.97395680295,43167.814071478555
89663.09735918713,43168.2522304389
89663.13496006856,43168.22243381948
89663.48700592152,43168.532418097966
89663.5167614249,43168.492251546486
89663.77112859173,43168.76107181002
89663.80008527215,43168.72036361027
89665.08022877102,43169.7210311853
89665.10748517976,43169.67911354918
89665.85384314702,43170.225217753235
89665.87972582738,43170.182468386425
89666.69706678303,43170.726149422815
89666.7215763549,43170.68256868296
89667.80170306287,43171.25905928857
89667.82297568896,43171.21395204842
89668.2762796125,43171.442086340154
89668.28865658684,43171.39399606034
89669.35583779098,43171.57374258299
89669.3572952786,43171.52404177222
89670.12697539029,43171.51530599622
89670.12081403813,43171.465743974884
89671.13418292184,43171.318712918684
89671.1217466666,43171.270453465986
89671.99807335294,43171.019843124945
89671.98081948813,43170.972924215
89672.66722359096,43170.7591120733
89672.64034081246,43170.71826946656
89673.13065096876,43170.29557536033
89673.09171607278,43170.26466411393
89673.40022441055,43169.87038925156
89673.35804339043,43169.8435426337
89674.09081092392,43168.90379120469
89674.04894568922,43168.87645785679
89675.00938079995,43167.48213208848
89674.96758632937,43167.454688893675
89676.48820601808,43164.8826934035
89676.4454830472,43164.85675890287
89677.01686681475,43163.97529011227
89676.97338424672,43163.95060679063
89677.66897666745,43162.93598310725
89677.62921501481,43162.906312819134
89678.0207396296,43162.57092101716
89677.98469673912,43162.536266867224
89678.9259501142,43161.33988891689
89678.89106291754,43161.30410800222
89679.25550135446,43161.03864544652
89679.22177021077,43161.0017373186
89680.11340194903,43160.031444902634
89680.07799928395,43159.99621650962
89680.4781088781,43159.626701598405
89680.43523372762,43159.604213461105
89680.58881043669,43159.16879053371
89680.53962658894,43159.165852157676
89680.65011740752,43157.95577339246
89680.60051893348,43157.96205425546
89680.62102489517,43157.000492849984
89680.57170308352,43157.00862160341
89680.46020538823,43156.131730569316
89680.41130701693,43156.1421045761
89680.17711609791,43154.8004526639
89680.12800595729,43154.809508450235
89679.90814903195,43153.57020790251
89679.86042929484,43153.58345235279
89679.48041129569,43152.691116030146
89679.43531234207,43152.71262900601
89679.08651184104,43152.02481364762
89679.04387767511,43152.05073277175
89678.62296775886,43151.36656572598
89678.58272673137,43151.39621765288
89678.19161008779,43150.80945533569
89678.1571705742,43150.84500273723
89677.00841821788,43150.03287144491
89676.98179591764,43150.07507197512
89675.27905191437,43148.967930895065
89675.2527044422,43149.01032783003
89674.06400045683,43148.09635253461
89674.03651824335,43148.138092846915
89672.44440333731,43147.256042482855
89672.4165776461,43147.29753644767
89672.16470563554,43147.051996674054
89672.13789907945,43147.09408395692
89671.29327922153,43146.67819199161
89671.27695461735,43146.724722429775
89669.98985271525,43146.396164337464
89669.98679354324,43146.44576995961
89669.23444282103,43146.43187762635
89669.23955024617,43146.48154160293
89668.32725058506,43146.57306250959
89668.33501415126,43146.62245607628
89665.7346710852,43146.96088975251
89665.74238980188,43147.01029037341
89664.49680184873,43147.191655318675
89664.50460222639,43147.24104305156
89664.22172876794,43147.235635882214
89664.2296019333,43147.285012124805
89660.86713233011,43147.15424733012
89660.86940383652,43147.20388029887
89659.84702480843,43146.710550862306
89659.84145355978,43146.760188158354
89659.60762508519,43146.67214300283
89659.592137949,43146.718992370545
89658.57224525389,43146.02985456686
89658.54183358606,43146.06845340738
89657.78175306598,43145.219673350235
89657.74441807045,43145.25292771337
89657.08540412191,43144.1342434756
89657.04406466425,43144.16122832408
89656.61579734385,43141.81968039875
89656.56862186272,43141.835564977584
89656.47674933175,43139.90659113854
89656.42762597528,43139.915577588654
89656.37234522813,43139.11542837268
89656.32256063411,43139.11874028541
89656.41321060059,43137.57151511947
89656.36324832213,43137.57018018492
89656.5677728932,43134.80142556511
89656.51833897864,43134.794940478154
89656.74188223372,43133.96946534033
89656.6930014294,43133.95894968534
89656.92186982169,43132.46185545476
89656.87295093,43132.45152561614
89657.13698559775,43131.00692953702
89657.08754982351,43131.000081484955
89657.17430209118,43129.13612617925
